t_hover,E_req_J,exceeds_avail
4.355637621467403164e+01,5.582132191839813022e+05,0.000000000000000000e+00
4.514041356918699677e+01,5.648112660447716480e+05,0.000000000000000000e+00
4.645510773242192926e+01,5.702874081773532089e+05,0.000000000000000000e+00
3.778941262194661732e+01,5.341918816057483200e+05,0.000000000000000000e+00
5.671346994645558226e+01,6.130169274089026731e+05,1.000000000000000000e+00
6.454227942366287607e+01,6.456265446301423945e+05,1.000000000000000000e+00
5.500482770299387880e+01,6.058998593937028199e+05,1.000000000000000000e+00
4.202058219157863306e+01,5.518161219791488256e+05,0.000000000000000000e+00
3.990596789237687858e+01,5.430080441905285697e+05,0.000000000000000000e+00
4.496726901276085187e+01,5.640900608953250339e+05,0.000000000000000000e+00
5.154822256460585095e+01,5.915019396619771142e+05,0.000000000000000000e+00
4.080770992336957192e+01,5.467641021899710177e+05,0.000000000000000000e+00
3.064911718511108774e+01,5.044501562872736249e+05,0.000000000000000000e+00
4.533713886787789704e+01,5.656306928946293192e+05,0.000000000000000000e+00
5.428355978372944435e+01,6.028955365998412017e+05,0.000000000000000000e+00
6.818312665202704181e+01,6.607918944606147707e+05,1.000000000000000000e+00
7.134822701690593760e+01,6.739755990412409883e+05,1.000000000000000000e+00
5.651406455343123980e+01,6.121863370672542369e+05,1.000000000000000000e+00
4.121730666821873967e+01,5.484702100092357723e+05,0.000000000000000000e+00
5.930939029348259339e+01,6.238298063146716449e+05,1.000000000000000000e+00
5.606457698825080627e+01,6.103140706021019723e+05,1.000000000000000000e+00
5.449269698134845896e+01,6.037666631716315169e+05,0.000000000000000000e+00
4.305288924096464598e+01,5.561160270711390767e+05,0.000000000000000000e+00
3.404586302106247331e+01,5.185987419478008524e+05,0.000000000000000000e+00
4.364072830616323273e+01,5.585645739363586763e+05,0.000000000000000000e+00
5.132746583091669379e+01,5.905824138253127458e+05,0.000000000000000000e+00
8.094910033003208127e+01,7.139664564815909835e+05,1.000000000000000000e+00
3.935609096219699410e+01,5.407176223499970511e+05,0.000000000000000000e+00
4.870116602440169373e+01,5.796429942816377152e+05,0.000000000000000000e+00
6.687749623558363510e+01,6.553535058733611368e+05,1.000000000000000000e+00
4.476703057534436425e+01,5.632560006443838356e+05,0.000000000000000000e+00
9.735806422962632212e+01,7.823152946185724577e+05,1.000000000000000000e+00
3.491339321205791180e+01,5.222122961591522326e+05,0.000000000000000000e+00
4.413165196557208958e+01,5.606094356314581819e+05,0.000000000000000000e+00
3.551805971435953779e+01,5.247309349437552737e+05,0.000000000000000000e+00
5.225099678331213227e+01,5.944292299903071253e+05,0.000000000000000000e+00
3.840961587343677053e+01,5.367752361616797280e+05,0.000000000000000000e+00
4.247011575400064487e+01,5.536885800382394809e+05,0.000000000000000000e+00
4.506323622107114346e+01,5.644897965049219783e+05,0.000000000000000000e+00
7.291665979979183021e+01,6.805086476274989545e+05,1.000000000000000000e+00
5.358909224991086262e+01,6.000028464000944514e+05,0.000000000000000000e+00
4.404570813409118557e+01,5.602514507481526816e+05,0.000000000000000000e+00
4.816505503107268282e+01,5.774099121851254022e+05,0.000000000000000000e+00
4.991356179258859527e+01,5.846930292884071823e+05,0.000000000000000000e+00
3.807211597843242856e+01,5.353694359029887710e+05,0.000000000000000000e+00
4.924398411851009882e+01,5.819040137024286669e+05,0.000000000000000000e+00
4.739850314290326594e+01,5.742169664727281779e+05,0.000000000000000000e+00
3.839418599003460031e+01,5.367109655221938156e+05,0.000000000000000000e+00
6.048422997035255833e+01,6.287234076049563009e+05,1.000000000000000000e+00
5.215139150338308127e+01,5.940143405922247330e+05,0.000000000000000000e+00
3.902478391170205185e+01,5.393376173657408217e+05,0.000000000000000000e+00
7.907560624079052047e+01,7.061627252381253056e+05,1.000000000000000000e+00
4.746542889714778823e+01,5.744957346857638331e+05,0.000000000000000000e+00
7.467447147389270867e+01,6.878305228125243448e+05,1.000000000000000000e+00
3.574348299432256226e+01,5.256698985107894987e+05,0.000000000000000000e+00
5.277011466740665924e+01,5.965915300874428358e+05,0.000000000000000000e+00
6.263387932802454117e+01,6.376774181627114303e+05,1.000000000000000000e+00
3.544514168597789450e+01,5.244272068991558626e+05,0.000000000000000000e+00
3.858468530362467419e+01,5.375044590559382923e+05,0.000000000000000000e+00
6.106846640324404518e+01,6.311569482983095804e+05,1.000000000000000000e+00
6.470033621602554774e+01,6.462849041818940314e+05,1.000000000000000000e+00
1.120340965061412390e+02,8.434458913276942912e+05,1.000000000000000000e+00
3.806675151496848741e+01,5.353470911134437192e+05,0.000000000000000000e+00
4.014047234614141502e+01,5.439848338922325056e+05,0.000000000000000000e+00
6.506524623034232491e+01,6.478048767807561671e+05,1.000000000000000000e+00
